OID_,OBJECTID_1,OBJECTID_2,RS,Partido,Localidad,Direccion,Establecim,CP,Tel,X,Y,CENTER_ID
,"1,987","2,005",VII,TRES DE FEBRERO,Saenz Pena,Moriondo N° 2971,Hogar Geriatrcio Santa Teresita,1657, ,-58.534156000000003,-34.602342589999999,736
,"1,988","2,006",VII,TRES DE FEBRERO,Saenz Pena,Raffo N° 2719,Geriatrico Don Victor,1657, ,-58.526974889999998,-34.601034900000002,737
,"1,989","2,007",VII,TRES DE FEBRERO,Saenz Pena,Rvda. Madre Isabel Fernandez N° 1256,Hogar Geriátrico Santa Bárbara,1674, ,-58.532982390000001,-34.599600289999998,738
,"2,004","2,022",V,VICENTE LOPEZ,Florida,J. M. Paz N°1972,Hospital de Día Comunidad Terapéutica Vicente López,1602, ,-58.484374889999998,-34.542285190000001,739
,"2,005","2,023",V,VICENTE LOPEZ,Florida,Avenida Maipu N° 1964,PARAMEDIC Emergencias Médicas,1602,01157882222,-58.486551589999998,-34.518883090000003,740
,"2,006","2,024",V,VICENTE LOPEZ,Florida,Chacabuco N° 1550/54,Centro de Día Educativo Terapéutico AUPA,1602,011-47183775,-58.489297899999997,-34.526020289999998,741
,"2,007","2,025",V,VICENTE LOPEZ,Florida,Esmeralda N° 1751,Policonsultorios Rodriguez Palacios,1602, ,-58.489886589999998,-34.520752090000002,742
,"2,008","2,026",V,VICENTE LOPEZ,Florida,Chacabuco N° 996,Centro de Otorrinolaringología San Blas Ecumene SA,1602,011-47952796,-58.485691899999999,-34.531070389999996,743
,"2,009","2,027",V,VICENTE LOPEZ,Florida,Sargento Cabral N° 1560,Residencia Geriátrica Mi Hogar,1602, ,-58.509620490000003,-34.536034090000001,744
,"2,010","2,028",V,VICENTE LOPEZ,Florida,Paz N° 1343,Hogar Geriátrico San Jorge,1602, ,-58.478672109999998,-34.539618410000003,745
,"2,011","2,029",V,VICENTE LOPEZ,Florida,Echeverria N° 1764,Residencial Geriátrico Mis Abuelos,1602, ,-58.505847310000000,-34.531559180000002,746
,"2,012","2,030",V,VICENTE LOPEZ,Florida,Laprida 2399,Centro De Rehabilitacion Fisica Kynesium,1602,011-47979346,-58.490905800000000,-34.532949790000004,747
,"2,013","2,031",V,VICENTE LOPEZ,Florida,Blas Parera N° 451,Geriatrico Paeque y Sol,1602, ,-58.496112990000000,-34.542420600000000,748
,"2,014","2,032",V,VICENTE LOPEZ,Florida,Lavalle 2745,Hogar Geriátrico,1602, ,-58.493376789999999,-34.539155600000001,749
,"2,015","2,033",V,VICENTE LOPEZ,Florida,Agustin Alvarez N° 2257,Hogar Geriátrico San Remo,1602, ,-58.486819599999997,-34.537429899999999,750
,"2,016","2,034",V,VICENTE LOPEZ,Florida,A.Alvarez 1568,Clinica De Ojos V. Lopez,1602,011-47962907,-58.479498990000003,-34.534151000000001,751
,"2,017","2,035",V,VICENTE LOPEZ,Florida,Virrey Liniers N° 1464,Geriátrico San Eloy,1602, ,-58.488093689999999,-34.529675300000001,752
,"2,018","2,036",V,VICENTE LOPEZ,Florida,Libertad N° 1645,Centro de Coloproctología y Endoscopía Digestiva,1602, ,-58.487156990000003,-34.523196890000001,753
,"2,019","2,037",V,VICENTE LOPEZ,Florida,Laprida N° 1501 PA,HC Home Care Medicalhelp Servicio de Internación Domiciliaria,1602, ,-58.477958800000003,-34.535435090000000,754
,"2,020","2,038",V,VICENTE LOPEZ,Florida,Espana N° 1549/53,Centro de Medicina Física y Rehabilitación CE.ME.FI.,1602, ,-58.492624300000003,-34.527702189999999,755
,213,213,VI,BERAZATEGUI,Sourigues,Calle 224 N° 890,Centro SHOC (Desintoxicación de Adicciones),1884, ,-58.204454800000001,-34.808804790000003,756
,219,219,XI,LA PLATA,La Plata,Calle 62 N° 334,Centro de Día Bricolage,1923, ,-57.933605860000000,-34.917532760000000,757
,258,258,XI,CANUELAS,Alejandro Petion,Alejandro Magno N° 1495,Fundación IPNA(Instituto Psicopedagógico de Nivelación Aranguren),1814, ,-58.662630900000003,-34.977752690000003,758
,335,335,V,ESCOBAR,Garin,H.Ford esq.Andes,Poloclínica Privada Garin,1619, ,-58.740445100000002,-34.425610689999999,759
,336,336,V,ESCOBAR,Ingeniero  Maschwitz,Colectora Este N° 1131,Policlínica Grupo Médico Maschwitz,1623, ,-58.796684689999999,-34.356745300000000,760
,337,337,V,ESCOBAR,Ingeniero  Maschwitz,Chacabuco N° 1545/1501/1547,Fundación Educativa Arte Terapéutica Especial,1623, ,-58.741694690000003,-34.388019100000001,761
,338,338,V,ESCOBAR,Ingeniero  Maschwitz,Avenida Villanueva N° 1633,Centro de Traumatología y Rehabilitación Maschwitz(Policlínica),1623, ,-58.738999300000003,-34.393181200000001,762
,339,339,V,ESCOBAR,Loma Verde,Conde N° 1140,Fundación Peumayen(hogar y Centro de Día discapacitados mentales),1625, ,-58.784943390000002,-34.340252489999997,763
,340,340,V,ESCOBAR,Loma Verde,Oldman N° 411,Comunidad Terapéutica Belén de Escobar,1625, ,-58.784943390000002,-34.340252489999997,764
,341,341,V,ESCOBAR,Maquinista Savio,Ruta 26 N° 318 ESQ. Juan XXIII,Sanatorio San Carlos,BB1620,03488-466140,-58.753589099999999,-34.382094799999997,765
,342,342,VI,EZEIZA,Canning,Emilio Mitre N° 1974,Hogar de Ancianos Solariega,1842, ,-58.505731789999999,-34.869097699999998,766
,343,343,VI,ESTEBAN ECHEVERRIA,Luis Guillon,Lagos Garcia N°1632,Residencia Parque San Emiliano,1838, ,-58.464985790000000,-34.788865190000003,767
,344,344,VI,ESTEBAN ECHEVERRIA,Luis Guillon,Boulevard Buenos Aires N° 1255,Policlínica P.R.O.E.M.I.,1838, ,-58.450181600000001,-34.811158599999999,768
,345,345,VI,ESTEBAN ECHEVERRIA,Luis Guillon,Teniente Ford N° 1811,Geriátrico Hogar del Carmen,1838, ,-58.447018290000003,-34.802665990000001,769
,346,346,VI,ESTEBAN ECHEVERRIA,Monte Grande,Gral. Rodriguez N° 158,Clinica Privada Monte Grande  S.A,B1842DID,011-42900623/2334/3043/4468,-58.466144389999997,-34.814514289999998,770
,347,347,VI,ESTEBAN ECHEVERRIA,Monte Grande,Avenida H. Irigoyen N° 247,Instituto de Urologia S.R.L.,1842,011-42968256,-58.466686299999999,-34.816079090000002,771
,348,348,VI,ESTEBAN ECHEVERRIA,Monte Grande,Arana N° 256,Centro de Diálisis Fresenius Medical Care,1842, ,-58.465968789999998,-34.813534189999999,772
,367,367,VI,EZEIZA,Canning,Ruta 58-Mariano Castex N° 1925,Centro Médico Canning,1840, ,-58.502348490000003,-34.866834490000002,773
,368,368,VI,EZEIZA,Canning,Mariano Castex N° 1277 Unidad 29 Complejo Comercial Canning Desig,Hospital AT HOME SA(Servicio de Internación Domiciliaria), , ,-58.502781790000000,-34.859521190000002,774
,369,369,VI,EZEIZA,Jose Maria Ezeiza,Balboa  N° 260,Clínica Privada Ezeiza,1804,011-42320141,-58.522861900000002,-34.853732690000001,775
,370,370,VI,EZEIZA,Jose Maria Ezeiza,French N° 530,Diagnóstico Médico Ezeiza (D.I.M.E),1804, ,-58.522861900000002,-34.853732690000001,776
,371,371,VI,EZEIZA,Jose Maria Ezeiza,D. Laure Nª 1009,Centro de Día Fundación Camila Dragone,1804, ,-58.522861900000002,-34.853732690000001,777
,372,372,VI,EZEIZA,Jose Maria Ezeiza,Los Salvadores N° 651,Policonsultorios Asociacion Mutual Empleados  de Comercio filial Ezeiza,1804, ,-58.522861900000002,-34.853732690000001,778
,373,373,VI,EZEIZA,Jose Maria Ezeiza,Vicente Lopez N° 275,Fundacion AME Salud,1840, ,-58.522861900000002,-34.853732690000001,779
,374,374,VI,EZEIZA,Jose Maria Ezeiza,Paso de La Patria N° 194,EZEMED(Policlínica),1840, ,-58.522861900000002,-34.853732690000001,780
,375,375,VI,EZEIZA,Jose Maria Ezeiza,General Racedo N° 188,Centro Educativo Terapéutico Despertares,1840, ,-58.522861900000002,-34.853732690000001,781
,376,376,VI,EZEIZA,Jose Maria Ezeiza,Pbro. Gonzalez y Aragon(Camino Real),Centro Educativo Terapéutico con Equinoterapia Los Angeles del Bosque,1804, ,-58.522861900000002,-34.853732690000001,782
,377,377,VI,EZEIZA,Jose Maria Ezeiza,Rafael Obliogado N° 53 Bo. 1° Justicialista,Instituto Geriátrico Nuestra Señora de Loreto,1804, ,-58.522861900000002,-34.853732690000001,783
,392,392,VI,FLORENCIO VARELA,Florencio Varela,Leon XIII N° 1418,Fundación Programa  Yo Pude (Drogadependientes),1888, ,-58.235324089999999,-34.809606899999999,784
,393,393,VI,FLORENCIO VARELA,Florencio Varela,Mitre N° 268,RADIOMED,1888, ,-58.273388429999997,-34.808806480000001,785
,394,394,VI,FLORENCIO VARELA,Florencio Varela,Aristobulo del Valle N° 1567,Centro de Día CON-VIVIENDO,1888, ,-58.262699890000000,-34.805143389999998,786
,395,395,VI,FLORENCIO VARELA,Florencio Varela,Monteagudo N° 847,Centro de Día F.I.D.M.E.,1888, ,-58.274933689999997,-34.804179189999999,787
,396,396,VI,FLORENCIO VARELA,Florencio Varela,Villarino N° 1615,Geriátrico La Luz Divina,1888, ,-58.276011990000001,-34.796580589999998,788
,397,397,VI,FLORENCIO VARELA,Florencio Varela,Avenida San Martin N° 2072 e/Asuncion y Diagonal Granaderos,Policonsultorios Florencio Varela,1888, ,-58.278608089999999,-34.797118390000001,789
,398,398,VI,FLORENCIO VARELA,Florencio Varela,Monteagudo N° 3256,Cuidados Sileno SRL,1888, ,-58.274662990000003,-34.809471790000003,790
,399,399,VI,FLORENCIO VARELA,Florencio Varela,Luis Braile N° 1348,Centro Educativo Terapéutico Vínculos,1888, ,-58.268494400000002,-34.783324190000002,791
,400,400,VI,FLORENCIO VARELA,Florencio Varela,Mitre N° 40,Centro Ambulatorio de Diagnóstico por Imágines MEDICEN,1888,011-43554833,-58.277596750000001,-34.809062079999997,792
,401,402,VI,FLORENCIO VARELA,Florencio Varela,Aristobulo del Valle N° 1924,Centro Terapéutico del Sur(Centro de Día),1888, ,-58.259234890000002,-34.803223590000002,793
,402,403,VI,FLORENCIO VARELA,Florencio Varela,Velez Sarsfield N° 256,Instituto de Ojos Santa Lucía,1888, ,-58.282465000000002,-34.808301399999998,794
,403,404,VI,FLORENCIO VARELA,VILLA VATTUONE,Dr. C. Galli Mainini(ex Progreso)N° 192,Centro de Investigaciones Médicas CIM(Policlínica),1888, ,-58.276011990000001,-34.796580589999998,795
,404,405,VI,FLORENCIO VARELA,Zeballos,Buenos Aires  N° 50,Clínica Privada Luján,1888,011-42553130,-58.258496919999999,-34.809925419999999,796
,532,544,V,GENERAL SAN MARTIN,General San Martin,Caseros N° 55,Clínica Privada Corporación Médica,1650,011-47547500,-58.540589290000000,-34.556403690000003,797
,533,545,V,GENERAL SAN MARTIN,General San Martin,San Martin N° 104,Centro Neurológico Buenos Aires,1650,011-47556270,-58.563320689999998,-34.563448389999998,798
,534,546,V,GENERAL SAN MARTIN,General San Martin,Felix Ballester N° 2245 PB,Consultorio  Priv. de Radiaciones General San Martín,B1650BNC,011-47522559,-58.542507200000003,-34.577756899999997,799
,535,547,V,GENERAL SAN MARTIN,General San Martin,Güemes N° 2348,Instituto Médico Ginecología y Fertilidad PREFER,1650,011-47131762,-58.544407300000003,-34.577525100000003,800
,536,548,V,GENERAL SAN MARTIN,General San Martin,Avenida Balbin N° 2067,Clínica Privada de Ojos José León Suarez Sucursal San Martín,B1650,011-47549442,-58.542249290000001,-34.580588190000000,801
,537,549,V,GENERAL SAN MARTIN,General San Martin,Pellegrini N° 2051,Policlíca Privada Cefran,1650, ,-58.538955600000001,-34.578091899999997,802
,538,550,V,GENERAL SAN MARTIN,General San Martin,Matheu N° 3575,Departamento de Diagnóstico,1650,011-47556020/542040,-58.537945100000002,-34.574669290000003,803
,539,551,V,GENERAL SAN MARTIN,General San Martin,Calle 54 (Mitre) Entre 81 (Sarmiento) Y 83 (Yapeyu),Centro Medico Binemit Sa,1650, ,-58.536305900000002,-34.575057500000000,804
,540,552,V,GENERAL SAN MARTIN,General San Martin,Calle 85 N° 2207,Centro De Rehabilitacion Cerem,1650, ,-58.538173899999997,-34.574755690000003,805
,541,553,V,GENERAL SAN MARTIN,General San Martin,Ayacucho N° 115 Depto 1,Centro Medico Integral Ayacucho,1650, ,-58.542152100000003,-34.567666690000003,806
,542,554,V,GENERAL SAN MARTIN,General San Martin,Ballester N° 976,Consultorio Privado De Radiaciones General San Martin S.A.,1650,011-47543659,-58.527023600000000,-34.585967599999996,807
,543,555,V,GENERAL SAN MARTIN,General San Martin,Caseros N° 2564,Centro de Día TACYP,1650, ,-58.544793970000001,-34.574596780000000,808
,559,571,V,GENERAL SAN MARTIN,General San Martin,Guemes N° 2222,Policonsultorios Guemes(Policlínica),1650, ,-58.543146690000000,-34.578671100000001,809
,560,572,V,GENERAL SAN MARTIN,General San Martin,Intendente Campos N° 1857,Nutriesencia(Consultorios),1650, ,-58.535315490000002,-34.578412700000001,810
,561,573,V,GENERAL SAN MARTIN,General San Martin,La Madrid N° 819,Centro del Pilar (Internación Domiciliaria),1650, ,-58.536265090000001,-34.593301689999997,811
,562,574,V,GENERAL SAN MARTIN,General San Martin,Felix Ballester N° 2184,Corporación Médica Laboral S.A.(Policlínica),1650, ,-58.541884889999999,-34.578296899999998,812
,563,575,V,GENERAL SAN MARTIN,General San Martin,Ramon Carrillo N° 2550,Centro Kinésico Nuestra Señora de Guadalupe S.R.L.,1650, ,-58.542679900000003,-34.572511700000000,813
,564,576,V,GENERAL SAN MARTIN,General San Martin,Salguero N° 2277,Geriátrico Bonifacini,1650, ,-58.538865600000001,-34.574174900000003,814
,565,577,V,GENERAL SAN MARTIN,Jose Leon Suarez,Diagonal 190 N° 2325,Clínica Privada de Ojos José León Suarez,1655,011-47299390,-58.577313390000000,-34.525224289999997,815
,566,578,V,GENERAL SAN MARTIN,Jose Leon Suarez,Echague N° 7377,Policlínica Privada José León Suarez,1655, ,-58.574855999999997,-34.530620390000003,816
,567,579,V,GENERAL SAN MARTIN,Jose Leon Suarez,Calle (61)Lacroze N° 7259(ex1833),Centro de Día AGALMA,1655, ,-58.574293699999998,-34.531632690000002,817
,568,580,V,GENERAL SAN MARTIN,San Andres,AvenidaPte. Peron N°3601/19,Sanatorio San Andrés,1651,011-47557676/6161,-58.542382289999999,-34.571363200000000,818
,569,581,V,GENERAL SAN MARTIN,San Andres,Adelina Hue N° 3040,Geriatrico Guadalupe,1651, ,-58.543307489999997,-34.563506390000001,819
,570,582,V,GENERAL SAN MARTIN,San Andres,Bolivia N° 2729,Centro Educativo Terapéutico y Consultorios Espacio,1651, ,-58.538993290000001,-34.566275490000002,820
,571,583,V,GENERAL SAN MARTIN,San Andres,Congreso N° 3031,Consultorios San Andrés,1651, ,-58.543271590000003,-34.564504499999998,821
,572,584,V,GENERAL SAN MARTIN,Villa Ballester,Enrique Marengo  N° 3908,Sanatorio Clínica Privada Santa María,01163394600,01163394600,-58.558819489999998,-34.549235699999997,822
,587,599,V,GENERAL SAN MARTIN,Villa Ballester,Cordoba N° 4039,Centro de Día Nepen-Hue,1653, ,-58.548345599999998,-34.554214000000002,823
,588,600,V,GENERAL SAN MARTIN,Villa Ballester,Independencia N° 5182,Belle Epoque Primer Centro Argentino-Cubano de Rehabilitación,1653, ,-58.558666590000001,-34.547429700000002,824
,589,601,V,GENERAL SAN MARTIN,Villa Ballester,Alvear N° 2301,Malacchia Centro de Cirugía Plástica y Medicina Estética(Policlínica),1653, ,-58.550719899999997,-34.546624590000000,825
,590,602,V,GENERAL SAN MARTIN,Villa Ballester,Lavalle N° 2330/32,Hogar Geriátrico Edelweiss,1653, ,-58.552105800000000,-34.545839000000001,826
,591,603,V,GENERAL SAN MARTIN,Villa Ballester,Republica N° 5672,Centro de Día Cumelen,1653, ,-58.557956799999999,-34.540678589999999,827
,592,604,V,GENERAL SAN MARTIN,Villa Ballester,91 ex San Lorenzo N°3701,Hogar Geriátrico Nuestra Casa,1653, ,-58.553991089999997,-34.565632989999997,828
,593,605,V,GENERAL SAN MARTIN,VILLA BERNARDO MONTEAGUDO,Buenos Aires 660,Hogar Geriatrico Alvear Alem,1650, ,-58.565809999999999,-34.560506490000002,829
,594,606,V,GENERAL SAN MARTIN,VILLA BERNARDO MONTEAGUDO,Bianchi N° 1506,Centro de Día Nuevos Logros,1650, ,-58.565809999999999,-34.560506490000002,830
,595,607,V,GENERAL SAN MARTIN,VILLA LIBERTAD,Calle 80(Lacroze) N° 5670,AMN Servicio De Ambulacias Medicas Norte,1650, ,-58.565809999999999,-34.560506490000002,831
,596,608,V,GENERAL SAN MARTIN,Villa Lynch,Buenos Aires N° 4440,Don Esteban (Rehabilitación),1672, ,-58.532425889999999,-34.589864190000000,832
,597,609,V,GENERAL SAN MARTIN,Villa Lynch,Rodriguez Pena N° 4463,Hogar Geriátrico El Amanecer,1672, ,-58.532005900000001,-34.590900400000002,833
,598,610,V,GENERAL SAN MARTIN,VILLA YAPEYU,Avenida Ricardo Balbin N° 2641,Hogar de Día Vitales,1650, ,-58.565809999999999,-34.560506490000002,834
,617,629,VII,HURLINGHAM,William Morris,Villegas N° 2899,Hogar de Ancianos Los Tres,1686, ,-58.665247290000003,-34.588143500000001,835
,618,630,VII,ITUZAINGO,Ituzaingo,Brandsen  N° 2850,Clínica Psiquiátrica Albert Schweitzer,1714,011-46211118,-58.692166600000000,-34.637688290000000,836
,619,631,VII,ITUZAINGO,Ituzaingo,Juncal  N° 258,Policlínica Privada Centro de Ojos Ituzaingó,1714,011-46239212,-58.665503999999999,-34.656814089999997,837
,620,632,VII,ITUZAINGO,Ituzaingo,Atacama N° 864,Clínica Gregorio Marañon(Hogar Geriátrico),1714, ,-58.661284100000003,-34.648829790000001,838
,621,633,VII,ITUZAINGO,Ituzaingo,Mansilla N° 759,C.E.F.O. Centro Estetico Flebologico Oeste),1714, ,-58.666041499999999,-34.657295689999998,839
,622,634,VII,ITUZAINGO,Ituzaingo,Olivera N° 2279,Centro Educativo Terapéutico Ad Gaudium,1714, ,-58.681330889999998,-34.670733390000002,840
,623,635,VII,ITUZAINGO,Ituzaingo,Las Heras N° 53 1er. P of.4,Salud En Casa SRL(internac. Domiciliaria),1714, ,-58.666012490000000,-34.658854200000000,841
,624,636,VII,ITUZAINGO,Ituzaingo,Las Heras N° 53 1er. P of.3,Sistema Médico Domiciliario,1714, ,-58.666012490000000,-34.658854200000000,842
,625,637,VII,ITUZAINGO,Ituzaingo,Balbastro N° 1381,Nuestra Señora del Buen Viaje(Geriátrico),1714, ,-58.696856789999998,-34.633051199999997,843
,626,638,VII,ITUZAINGO,Ituzaingo,Gonzalez Chavez N° 1503,Hogar Geriátrico El Edén,1714, ,-58.687748390000003,-34.642611100000003,844
,627,639,VII,ITUZAINGO,Ituzaingo,Las Heras N° 348,Centro Pediátrico Ituzaingó S.R.L.(Policlínico),1714, ,-58.667229089999999,-34.656304100000000,845
,628,640,VII,ITUZAINGO,Ituzaingo,Juncal N° 1052,Hogar Geriátrico Juncal,1714, ,-58.669503089999999,-34.649071690000000,846
,629,641,VII,ITUZAINGO,Ituzaingo,Ratti N° 1064,Centro Médico Comunitario(Policlínica),1714, ,-58.680320999999999,-34.653183700000000,847
,630,642,VII,ITUZAINGO,Ituzaingo,Concejal Defilippi N° 1139,Hogar Geriátrico Petritoli SA,1714, ,-58.663691399999998,-34.645124000000003,848
,631,643,VII,ITUZAINGO,Ituzaingo,Olavarria N° 28,Centro Pediátrico San Francisco de Asis,1714, ,-58.660375299999998,-34.657060240000000,849
,647,659,V,JOSE C. PAZ,Jose C. Paz,Avenida Gaspar Campos N° 4988/92/96,Clínica Privada Cristo Rey,B1665GVN,02320-426114,-58.742818999999997,-34.535996390000001,850
,648,660,V,JOSE C. PAZ,Jose C. Paz,C. Colon N° 1998,Policlínica Alternativa Slud S.A.,1665,02320-426739,-58.766246099999996,-34.515105190000000,851
,649,661,V,JOSE C. PAZ,Jose C. Paz,Compostela N° 102 esq. Girando,Clínica J.C.Paz SA,1665, ,-58.750567599999997,-34.517132590000003,852
,650,662,V,JOSE C. PAZ,Jose C. Paz,Granaderos a Caballos N° 4863,Hogar de Ancianos Los Manantiales,1665, ,-58.750494699999997,-34.522128090000002,853
,651,663,V,JOSE C. PAZ,Jose C. Paz,Saavedra Lamas 78010,Trailler Sanitario Favaloro,1665, ,-58.766246099999996,-34.515105190000000,854
,652,664,V,JOSE C. PAZ,Jose C. Paz,Humboldt y Miguel Angel N° 4426,Hogar Granja San Francisco de Asis(Discapacitados),1665, ,-58.797063690000002,-34.485290089999999,855
,653,665,V,JOSE C. PAZ,Jose C. Paz,Pirovano N° 255,Nuevo Hogar Hogar de Ancianos,1665, ,-58.760976290000002,-34.518494290000000,856
,654,666,V,JOSE C. PAZ,Jose C. Paz,Avenida Altube N°  1067,Hogar y Centro de Día HACER,1665, ,-58.744052500000002,-34.516935300000000,857
,655,667,V,JOSE C. PAZ,Jose C. Paz,Avenida Gaspar Campos N° 6300,DIAVERUM Argentina Sede Duhau(2108),1665, ,-58.754213589999999,-34.525087290000002,858
,656,668,V,JOSE C. PAZ,Jose C. Paz,Avda. Rene Favaloro N° 4667,Centro de Diálisis Diaverum,1665, ,-58.766246099999996,-34.515105190000000,859
,709,722,XII,LA MATANZA,Isidro Casanova,Virgilio N° 378,C.I.R.E. Salud Mental Centro de Día,1765, ,-58.583588990000003,-34.716720889999998,860
,710,723,XII,LA MATANZA,Isidro Casanova,Avenida Juan Manuel de Rosas N° 6845,PoliclÍnica Eva Perón,1765, ,-58.587691200000002,-34.709048490000001,861
,711,724,XII,LA MATANZA,La Tablada,Alberti  N° 1758,Hospital Vecinal de Tablada,1766,011-46996897,-58.535249589999999,-34.688882489999997,862
,712,725,XII,LA MATANZA,La Tablada,Miralla N° 2376,Clínica CYRENE,1766, ,-58.537759389999998,-34.694250640000000,863
,713,726,XII,LA MATANZA,La Tablada,Crovara N° 3286,Clínica Privada del Salvador,1766,011-46996512,-58.530156300000002,-34.693293490000002,864
,714,727,XII,LA MATANZA,Laferrere,Avenida Luro N° 6055,Sanatorio Clínica Modelo Laferrere S.A.,1757,011-46261189,-58.586082990000001,-34.749440600000000,865
,715,728,XII,LA MATANZA,Laferrere,Ruta 3 Juan Manuel de Rosas N° 10841,Sanatorio Privado Figueroa Paredes Laferrere de SICOMED S.A.,B1757FPF,011-44802500,-58.603872699999997,-34.736071289999998,866
,716,729,XII,LA MATANZA,Lomas del Mirador,Avenida Mosconi N° 542,M.C. Centro de Dialisis S.R.L.,1752,011-46993298,-58.532528999999997,-34.660464300000001,867
,717,730,XII,LA MATANZA,Lomas del Mirador,Av . Mosconi N° 1716,Clínica Privada del Buen Pastor,1752,011-46512891,-58.547080999999999,-34.666125989999998,868
,718,731,XII,LA MATANZA,Lomas del Mirador,Moreno Nª 2368,Hogar Geriátrico Santa Rita,1752, ,-58.549297899999999,-34.658006299999997,869
,719,732,XII,LA MATANZA,Lomas del Mirador,Helguera N°  124,Centro Nefrológico Agüero,1752, ,-58.526386590000001,-34.678322600000001,870
,720,733,XII,LA MATANZA,Lomas del Mirador,Avenida Mosconi N° 1797,Centro de Traumatología de Mediana y Baja Complejidad,1752, ,-58.547917190000000,-34.666226989999998,871
,721,734,XII,LA MATANZA,Lomas del Mirador,Irala N° 2328,Antalgos S.A. Consultorio de La Matanza(Policlínica),1752, ,-58.540141589999998,-34.658735489999998,872
,722,735,XII,LA MATANZA,Rafael Castillo,Chavarria N° 2332,GERIHOME(geriátrico),1755, ,-58.626849389999997,-34.703107099999997,873
,739,752,XII,LA MATANZA,Ramos Mejia,Guemes N° 40 P 3 Dto. E,Dr. Guillermo J. Gonzalez DENTAL X-S.R.L.,1754, ,-58.565924590000002,-34.640435490000002,874
,740,753,XII,LA MATANZA,Ramos Mejia,Cisneros N° 855,U.NU.C Color Esperanza Hogar y Centro de dia,1754, ,-58.556469499999999,-34.661127489999998,875
,741,754,XII,LA MATANZA,Ramos Mejia,Espora  N°342,Hospital De Dia Centro Asistencial Neuropsiquiatrico,1754, ,-58.567039100000002,-34.644873199999999,876
,742,755,XII,LA MATANZA,Ramos Mejia,Alsina N° 58,Centro de Día Despertares,1754, ,-58.564321290000002,-34.642599199999999,877
,743,756,XII,LA MATANZA,Ramos Mejia,Avenida Brandsen N° 549,Policlínica Cedint S.A.,1754, ,-58.571515490000003,-34.654213700000000,878
,744,757,XII,LA MATANZA,Ramos Mejia,Belgrano N° 136,DIM Clínica Privada,1752, ,-58.566127590000001,-34.641938289999999,879
,745,758,XII,LA MATANZA,Ramos Mejia,Necochea N° 121,Centro Médico Capilar HAIR RECOVERY(Policlínica),1704, ,-58.567062290000003,-34.642213089999998,880
,746,759,XII,LA MATANZA,Ramos Mejia,Avenida Rivadavia N° 14276,Consultorios Médicos Privados S.A.,1704, ,-58.568348200000003,-34.641383789999999,881
,747,760,XII,LA MATANZA,Ramos Mejia,Mirtre N° 125,Centro Pediátrico Dr. Maza,1704, ,-58.547163900000001,-34.654650390000000,882
,748,761,XII,LA MATANZA,Ramos Mejia,Almirante Brown N° 611,Policlínica Integral Cubano-Argentina,1704, ,-58.552763689999999,-34.644795600000002,883
,749,762,XII,LA MATANZA,San Justo,Almafuerte N° 3240,Clínica Privada Indarte,1754,011-44410899,-58.558507790000000,-34.678791390000001,884
,750,763,XII,LA MATANZA,San Justo,Bermudez  N° 2895,Clínica Cruz Celeste,1754,011-46599462,-58.585263089999998,-34.665953000000002,885
,751,764,XII,LA MATANZA,San Justo,Catamarca N° 2275,Clínica Modelo Los Cedros S.A.,1754,011-40035600,-58.563262889999997,-34.687408390000002,886
,752,765,XII,LA MATANZA,San Justo,Figueroa Alcorta N° 2662,Clínica San Nicolás,1754, ,-58.575390190000000,-34.682979990000000,887
,753,766,XII,LA MATANZA,San Justo,Juan Manuel de Rosas  N° 3784,Clínica de Cirugia y Rehabilitacion Alfa,1754,011-46511261,-58.556441999999997,-34.683897299999998,888
,770,783,XII,LA MATANZA,San Justo,Monsenor Marcon N° 2828,Hogar de Día Sol de Vida,1754, ,-58.564592290000000,-34.676725400000002,889
,771,784,XII,LA MATANZA,San Justo,Mendoza N° 2253,Posada del Inti Centro de Día,1754, ,-58.556741989999999,-34.678270189999999,890
,772,785,XII,LA MATANZA,San Justo,Arturo Illia N° 3188,Clínica del Niño,1754,011-46518888,-58.569111700000001,-34.680315890000003,891
,773,786,XII,LA MATANZA,VILLA LUZURIAGA,Miro N° 3783,Gerátrico El Paraiso,1854, ,-58.588792900000001,-34.674223490000003,892
,774,787,XII,LA MATANZA,VILLA LUZURIAGA,Triunvirato N° 3550,Residencia Geriátrica los Años Dorados,1854, ,-58.592953989999998,-34.667363590000001,893
,775,788,XII,LA MATANZA,VILLA LUZURIAGA,Thames N° 333,Asociacion Civil Calidoscopio,1854, ,-58.594088090000000,-34.665976389999997,894
,776,789,XII,LA MATANZA,Villa Madero,Millan N° 20,Clínica Privada Los Cedros de Tapiales,1768, ,-58.503946390000003,-34.699431890000000,895
,777,790,XII,LA MATANZA,Villa Madero,Base Operativa en Avenida Crovara N° 576 1er. P,Medicina Privada SRL,1768, ,-58.507578490000000,-34.677595390000000,896
,778,791,XII,LA MATANZA,Villa Madero,Domingo Millan N° 563 PB,El Sol de Betty Hogar Geriátrico,1768, ,-58.497627989999998,-34.693861400000003,897
,779,792,XII,LA MATANZA,Virrey del Pino,Arengreen N° 5081,Centro de Día y Hogar Virrey del Pino,1763, ,-58.672192799999998,-34.847555000000000,898
,780,793,XI,LA PLATA,Arturo Segui,Entre Rios (411 y 153),Centro Pedagógico Integral Mama Emilia(Drogadependientes),1894, ,-58.135124699999999,-34.889862190000002,899
